type,basis,frontage-by-depth,width,depth,price-ea
flanged,20,60mm x 20mm,3,1,1.05
flanged,20,80mm x 20mm,4,1,1.05
flanged,20,100mm x 20mm,5,1,1.15
flanged,20,120mm x 20mm,6,1,1.35
flanged,20,140mm x 20mm,7,1,1.50
flanged,20,160mm x 20mm,8,1,1.70
flanged,20,180mm x 20mm,9,1,1.75
flanged,20,200mm x 20mm,10,1,1.80
flanged,20,40mm x 40mm,2,2,1.05
flanged,20,60mm x 40mm,3,2,1.15
flanged,20,80mm x 40mm,4,2,1.70
flanged,20,100mm x 40mm,5,2,1.80
flanged,20,120mm x 40mm,6,2,2.00
flanged,20,140mm x 40mm,7,2,2.20
flanged,20,160mm x 40mm,8,2,2.40
flanged,20,180mm x 40mm,9,2,2.50
flanged,20,200mm x 40mm,10,2,2.70
flanged,20,220mm x 40mm,11,2,2.90
flanged,20,240mm x 40mm,12,2,3.00
flanged,20,60mm x 60mm,3,3,1.75
flanged,20,80mm x 60mm,4,3,2.00
flanged,20,100mm x 60mm,5,3,2.25
flanged,20,120mm x 60mm,6,3,2.50
flanged,20,140mm x 60mm,7,3,2.75
flanged,20,160mm x 60mm,8,3,3.00
flanged,20,180mm x 60mm,9,3,3.25
flanged,20,200mm x 60mm,10,3,3.55
flanged,20,220mm x 60mm,11,3,3.80
flanged,20,240mm x 60mm,12,3,4.05
flanged,20,80mm x 80mm,4,4,2.25
flanged,20,100mm x 80mm,5,4,2.75
flanged,20,120mm x 80mm,6,4,3.05
flanged,20,140mm x 80mm,7,4,3.40
flanged,20,160mm x 80mm,8,4,4.05
flanged,20,180mm x 80mm,9,4,4.30
flanged,20,200mm x 80mm,10,4,4.60
flanged,20,220mm x 80mm,11,4,5.00
flanged,20,240mm x 80mm,12,4,5.25
flanged,20,100mm x 100mm,5,5,3.10
flanged,20,120mm x 100mm,6,5,3.55
flanged,20,140mm x 100mm,7,5,4.20
flanged,20,160mm x 100mm,8,5,4.60
flanged,20,180mm x 100mm,9,5,5.05
flanged,20,200mm x 100mm,10,5,5.75
flanged,20,220mm x 100mm,11,5,6.10
flanged,20,240mm x 100mm,12,5,6.55
flanged,20,120mm x 120mm,6,6,4.30
flanged,20,140mm x 120mm,7,6,4.80
flanged,20,160mm x 120mm,8,6,5.30
flanged,20,180mm x 120mm,9,6,6.05
flanged,20,200mm x 120mm,10,6,6.55
flanged,20,220mm x 120mm,11,6,7.10
flanged,20,240mm x 120mm,12,6,7.60
flanged,25,75mm x 25mm,3,1,1.15
flanged,25,100mm x 25mm,4,1,1.20
flanged,25,125mm x 25mm,5,1,1.40
flanged,25,150mm x 25mm,6,1,1.75
flanged,25,175mm x 25mm,7,1,1.95
flanged,25,200mm x 25mm,8,1,2.00
flanged,25,225mm x 25mm,9,1,2.20
flanged,25,250mm x 25mm,10,1,2.25
flanged,25,50mm x 50mm,2,2,1.15
flanged,25,75mm x 50mm,3,2,1.30
flanged,25,100mm x 50mm,4,2,1.90
flanged,25,125mm x 50mm,5,2,2.25
flanged,25,150mm x 50mm,6,2,2.60
flanged,25,175mm x 50mm,7,2,2.90
flanged,25,200mm x 50mm,8,2,3.10
flanged,25,225mm x 50mm,9,2,3.40
flanged,25,250mm x 50mm,10,2,3.60
flanged,25,75mm x 75mm,3,3,2.20
flanged,25,100mm x 75mm,4,3,2.60
flanged,25,125mm x 75mm,5,3,3.05
flanged,25,150mm x 75mm,6,3,3.40
flanged,25,175mm x 75mm,7,3,3.95
flanged,25,200mm x 75mm,8,3,4.45
flanged,25,225mm x 75mm,9,3,4.80
flanged,25,250mm x 75mm,10,3,5.20
flanged,25,100mm x 100mm,4,4,3.10
flanged,25,125mm x 100mm,5,4,3.60
flanged,25,150mm x 100mm,6,4,4.45
flanged,25,175mm x 100mm,7,4,5.00
flanged,25,200mm x 100mm,8,4,5.75
flanged,25,225mm x 100mm,9,4,6.25
flanged,25,250mm x 100mm,10,4,6.75
flanged,25,125mm x 125mm,5,5,4.55
flanged,25,150mm x 125mm,6,5,5.05
flanged,25,175mm x 125mm,7,5,5.80
flanged,25,200mm x 125mm,8,5,6.80
flanged,25,225mm x 125mm,9,5,7.45
flanged,25,250mm x 125mm,10,5,8.00
flat,20,60mm x 20mm,3,1,0.30
flat,20,80mm x 20mm,4,1,0.30
flat,20,100mm x 20mm,5,1,0.35
flat,20,120mm x 20mm,6,1,0.45
flat,20,140mm x 20mm,7,1,0.50
flat,20,160mm x 20mm,8,1,0.65
flat,20,180mm x 20mm,9,1,0.70
flat,20,200mm x 20mm,10,1,0.75
flat,20,40mm x 40mm,2,2,0.30
flat,20,60mm x 40mm,3,2,0.35
flat,20,80mm x 40mm,4,2,0.45
flat,20,100mm x 40mm,5,2,0.75
flat,20,120mm x 40mm,6,2,0.90
flat,20,140mm x 40mm,7,2,1.10
flat,20,160mm x 40mm,8,2,1.20
flat,20,180mm x 40mm,9,2,1.40
flat,20,200mm x 40mm,10,2,1.55
flat,20,220mm x 40mm,11,2,1.70
flat,20,240mm x 40mm,12,2,1.85
flat,20,60mm x 60mm,3,3,0.60
flat,20,80mm x 60mm,4,3,0.70
flat,20,100mm x 60mm(5 x 31.15
flat,20,120mm x 60mm,6,3,1.40
flat,20,140mm x 60mm,7,3,1.60
flat,20,160mm x 60mm,8,3,1.85
flat,20,180mm x 60mm,9,3,2.05
flat,20,200mm x 60mm,10,3,2.30
flat,20,220mm x 60mm,11,3,2.55
flat,20,240mm x 60mm,12,3,2.80
flat,20,80mm x 80mm,4,4,1.20
flat,20,100mm x 80mm,5,4,1.55
flat,20,120mm x 80mm,6,4,1.85
flat,20,140mm x 80mm,7,4,2.20
flat,20,160mm x 80mm,8,4,2.50
flat,20,180mm x 80mm,9,4,2.80
flat,20,200mm x 80mm,10,4,3.10
flat,20,220mm x 80mm,11,4,3.45
flat,20,240mm x 80mm,12,4,3.75
flat,20,100mm x 100mm,5,5,1.95
flat,20,120mm x 100mm,6,5,2.30
flat,20,140mm x 100mm,7,5,2.70
flat,20,160mm x 100mm,8,5,3.10
flat,20,180mm x 100mm,9,5,3.45
flat,20,200mm x 100mm,10,5,3.85
flat,20,220mm x 100mm,11,5,4.25
flat,20,240mm x 100mm,12,5,4.65
flat,20,120mm x 120mm,6,6,2.80
flat,20,140mm x 120mm,7,6,3.30
flat,20,160mm x 120mm,8,6,3.75
flat,20,180mm x 120mm,9,6,4.20
flat,20,200mm x 120mm,10,6,4.65
flat,20,220mm x 120mm,11,6,5.10
flat,20,240mm x 120mm,12,6,5.60
flat,25,75mm x 25mm,3,1,0.40
flat,25,100mm x 25mm,4,1,0.45
flat,25,125mm x 25mm,5,1,0.65
flat,25,150mm x 25mm,6,1,0.70
flat,25,175mm x 25mm,7,1,0.85
flat,25,200mm x 25mm,8,1,0.90
flat,25,225mm x 25mm,9,1,1.10
flat,25,250mm x 25mm,10,1,1.15
flat,25,50mm x 50mm,3,2,0.35
flat,25,75mm x 50mm,3,2,0.50
flat,25,100mm x 50mm,4,2,0.90
flat,25,125mm x 50mm,5,2,1.15
flat,25,150mm x 50mm,6,2,1.50
flat,25,175mm x 50mm,7,2,1.70
flat,25,200mm x 50mm,8,2,1.95
flat,25,225mm x 50mm,9,2,2.20
flat,25,250mm x 50mm,10,2,2.40
flat,25,75mm x 75mm,3,3,1.10
flat,25,100mm x 75mm,4,3,1.45
flat,25,125mm x 75mm,5,3,1.85
flat,25,150mm x 75mm,6,3,2.20
flat,25,175mm x 75mm,7,3,2.55
flat,25,200mm x 75mm,8,3,2.95
flat,25,225mm x 75mm,9,3,3.20
flat,25,250mm x 75mm,10,3,3.70
flat,25,100mm x 100mm,4,4,1.95
flat,25,125mm x 100mm,5,4,2.40
flat,25,150mm x 100mm,6,4,2.95
flat,25,175mm x 100mm,7,4,3.45
flat,25,200mm x 100mm,8,4,3.90
flat,25,225mm x 100mm,9,4,4.30
flat,25,250mm x 100mm,10,4,4.80
flat,25,125mm x 125mm,5,5,3.05
flat,25,150mm x 125mm,6,5,3.70
flat,25,175mm x 125mm,7,5,4.25
flat,25,200mm x 125mm,8,5,4.90
flat,25,225mm x 125mm,9,5,5.40
flat,25,250mm x 125mm,10,5,6.05

